epoch,acc,loss,val_acc,val_loss
0,0.6875,0.5885559320449829,0.0,0.8788572549819946
1,0.625,0.7125684022903442,1.0,0.4409716725349426
2,0.53125,0.6797304153442383,0.875,0.6629745960235596
3,0.84375,0.5459614992141724,0.875,0.6523083448410034
4,0.65625,0.5443296432495117,1.0,0.5838188529014587
5,0.75,0.4865022599697113,1.0,0.5078637599945068
6,0.6875,0.5216431021690369,0.875,0.5708167552947998
7,0.8125,0.4027034342288971,1.0,0.3336513042449951
8,0.8125,0.46251896023750305,0.0,0.8741811513900757
9,0.625,0.6327483654022217,1.0,0.382331520318985
10,0.75,0.541789174079895,1.0,0.5549338459968567
11,0.875,0.3800464868545532,1.0,0.4826979637145996
12,0.75,0.44469401240348816,1.0,0.4625874161720276
13,0.8125,0.3958579897880554,1.0,0.46467775106430054
14,0.84375,0.35323190689086914,1.0,0.3506913185119629
